title,name,medium,date,country,image_url,objectURL,department
Bird Pendant,,Jade (jadeite),1,Costa Rica,https://images.metmuseum.org/CRDImages/ao/original/DT4847.jpg,https://www.metmuseum.org/art/collection/search/316777,The Michael C. Rockefeller Wing
Terracotta oil lamp,,Terracotta,1,Greek/Roman,https://images.metmuseum.org/CRDImages/gr/original/DP-19673-038.jpg,https://www.metmuseum.org/art/collection/search/241471,Greek and Roman Art
Marble portrait bust of a man,,Marble,74,Greek/Roman,https://images.metmuseum.org/CRDImages/gr/original/DP336053.jpg,https://www.metmuseum.org/art/collection/search/249050,Greek and Roman Art
Figure-Celt Pendant,,Jadeite,200,Costa Rica,https://images.metmuseum.org/CRDImages/ao/original/DP265393.jpg,https://www.metmuseum.org/art/collection/search/320927,The Michael C. Rockefeller Wing
Glass head-shaped flask,,Glass,200,Greek/Roman,https://images.metmuseum.org/CRDImages/gr/original/DP224738.jpg,https://www.metmuseum.org/art/collection/search/249005,Greek and Roman Art
Glass double head-shaped flask,,Glass,225,Greek/Roman,https://images.metmuseum.org/CRDImages/gr/original/DP233495.jpg,https://www.metmuseum.org/art/collection/search/239903,Greek and Roman Art
Glass double head flask,,Glass,250,Greek/Roman,https://images.metmuseum.org/CRDImages/gr/original/DP225521.jpg,https://www.metmuseum.org/art/collection/search/249487,Greek and Roman Art
"Jar, Fat Figure",,"Ceramic, pigment",350,Peru,https://images.metmuseum.org/CRDImages/ao/original/67.167.26_a.JPG,https://www.metmuseum.org/art/collection/search/309494,The Michael C. Rockefeller Wing
"Jar, Fat Figure",,"Ceramic, pigment",350,Peru,https://images.metmuseum.org/CRDImages/ao/original/67.167.27.JPG,https://www.metmuseum.org/art/collection/search/309495,The Michael C. Rockefeller Wing
Costumed Figure,,"Ceramic, pigment",650,Mexico,https://images.metmuseum.org/CRDImages/ao/original/1979.206.953_a.JPG,https://www.metmuseum.org/art/collection/search/313151,The Michael C. Rockefeller Wing
Night-Shining White,Han Gan,Handscroll; ink on paper,750,,https://images.metmuseum.org/CRDImages/as/original/DP153705.jpg,https://www.metmuseum.org/art/collection/search/39901,Asian Art
"Courtly Odes, Beginning with ""Wild Geese""",Ma Hezhi,Handscroll; ink and color on silk,1150,,https://images.metmuseum.org/CRDImages/as/original/DP147758_CRD.jpg,https://www.metmuseum.org/art/collection/search/40052,Asian Art
Eighteen Songs of a Nomad Flute: The Story of Lady Wenji,Unidentified artist,"Handscroll; ink, color, and gold on silk",1425,,https://images.metmuseum.org/CRDImages/as/original/DP213003_CRD.jpg,https://www.metmuseum.org/art/collection/search/39569,Asian Art
Sprite,Donatello,"High-copper alloy, fire-gilt, brown natural patina where exposed",1432,,https://images.metmuseum.org/CRDImages/es/original/DP242101.jpg,https://www.metmuseum.org/art/collection/search/207394,European Sculpture and Decorative Arts
Standing boy,Andrea Mantegna,"Bronze, silver inlay (eyes), on a later porphyry and ormolu base",1500,,https://images.metmuseum.org/CRDImages/es/original/DP-260-001.jpg,https://www.metmuseum.org/art/collection/search/193998,European Sculpture and Decorative Arts
Madonna and Child with Saints Francis and Jerome,Francesco Francia,Tempera on wood,1505,,https://images.metmuseum.org/CRDImages/ep/original/DP-19923-001.jpg,https://www.metmuseum.org/art/collection/search/436335,European Paintings
An old skinny man at left talking with a fat man at right,Marcantonio Raimondi,Engraving,1518,,https://images.metmuseum.org/CRDImages/dp/original/DP854390.jpg,https://www.metmuseum.org/art/collection/search/342654,Drawings and Prints
Scenes from the Story of Joseph,,Ivory,1550,,https://images.metmuseum.org/CRDImages/es/original/DP147215.jpg,https://www.metmuseum.org/art/collection/search/191741,European Sculpture and Decorative Arts
